1	983.6684741854749,-144.02758484301677,-63.42977511396644,-100.1397082346369,-195.3375195083799,-176.10174067988828,-7.846188662569832,-154.6495410284916,-137.1786452620112,-95.17977563687153,-266.50717487597757,-262.3087957513967,-96.22445761955306,-212.52687537765368,-305.7735731715083,-43.652326231284896,-64.61868072290504,113.80415273854754,-100.83263656759777,-91.77502065642462,7.7960218497206695,59.80133670893854,104.14084132681563,41.29731796201117,-18.669934367597758	1790.0
3	207.41568822014,-462.87095905225453,-657.9110607737657,-146.31350098766006,119.4051051780928,-89.23085451919562,-38.53106316636195,124.8440462039914,32.68782962279101,-219.01995518388202,85.70631165447901,-39.51941718540528,-18.41729418586228,4.88581034293113,42.30974958973185,29.90543513299818,-59.27570215585013,-17.157978869134677,16.406312188147485,39.243096868829994,10.149083684948213,8.826963466940878,-18.31336926736744,-40.467166936776394,-37.03124464594759	6564.0
5	-24.79578490866891,621.2009029185334,-350.48914023209926,157.206883500406,38.05930085923175,-19.32712221063017,-191.12957225763003,128.43902808320757,85.88316331333408,201.62878352663336,-33.05435796924683,-5.6151891350818195,8.564187909713358,27.142534932226994,-15.246896167807819,-14.393129309388424,-11.52586923059069,-57.00957901682723,-13.983777988162934,-13.16729016548683,48.98175436207497,-9.234569483811075,20.64076476012535,18.54027508483229,46.74083498595799	8617.0
7	-256.3625185904957,564.8929961575295,224.44317801699808,-281.90054578644964,-32.98223115657171,166.13317461886518,134.7511166563324,-36.21273862221692,-36.86815493308589,-258.90611796791984,-11.321850361862593,7.191185390112531,-63.68011243931046,-22.47348940112519,21.329707862700506,13.559473146277217,24.69645067955468,3.656679172133109,37.463791567033745,-6.742906652860905,-26.36275054919797,37.0844893636581,-33.804393478333765,-4.517156926382575,-14.25244988472589	8354.0
9	229.13760263602364,53.86959269822832,257.48931302618104,588.3796820923237,230.85337757066907,-505.1519234480313,157.9208608334646,-118.59198717303158,-18.887203956299203,-121.18054430885836,-79.91657659999993,-54.617421727559076,89.08200309192914,65.51492414074808,18.499089693897638,-45.65369925039372,70.00223082460631,52.948130842913415,57.084620335039375,56.29326505433075,-13.724678266535422,-58.06546502224404,-13.293406133858266,23.803656325,-16.906134842125994	5080.0
0	43.7340068576366,-197.62905459200144,85.05288584512832,-508.5438556417052,320.02812117412776,40.35109015355499,-116.02027930908478,-163.53645489763005,-135.11835476826863,146.74462917824232,37.98436210088872,3.234705887096777,140.83669938578024,-0.2578524563857815,-15.287437589861762,33.73405332455564,51.071493583443036,35.82761124720212,3.567398954739959,26.19839028505595,-7.926071937294273,-32.15432869963794,-70.22332925098756,17.812511112409485,9.947965103192884	6076.0
2	-726.0045305436245,-341.2170692229571,82.37874969226219,86.24114556060003,-211.90389139784835,-2.4137445407619356,34.20733656375837,-76.90641081375846,84.55725405635613,58.36763604332815,22.810091073134622,41.118084615574425,22.34220056790369,25.787204543031958,-86.31661266146862,-5.532297807737866,-30.13791388215552,-5.110321712988542,-32.34140249062376,-15.39858415367154,-5.171512126036325,8.498645199170927,39.36609070568491,-3.8725314074220307,0.3959107985590216	10132.0
4	176.90765865224225,-315.5691363399102,336.85582928744407,433.24176554663694,341.9275733147981,363.24715045448437,83.87559791345289,232.71580794192806,-238.8011658139014,132.53450498834079,48.85297542331837,24.319733118834087,-121.9325623923767,-63.19095514551572,127.08365795919283,2.532526342600897,-49.41568177959636,-11.59758887892377,-6.410281360538111,-49.59725804327358,12.901168710762345,49.402475877354235,61.10526997690583,-32.86248906322868,-44.951756579596406	4460.0
6	1098.8792657571921,-229.82061164636212,-203.22370446023697,111.365160178088,-756.9884476023686,400.1381877271575,196.1863562719966,-301.99536904314726,71.00606871404398,184.31238075634505,-37.383982735194586,151.95546988578695,-15.181041436971237,-56.48607967005078,91.9242152271574,20.30695088832486,166.20572822419632,-44.10285852664974,-9.970577554145509,-54.27528820939088,-76.43127467131976,-41.302095195854484,-139.55647426395942,-31.49848893612518,47.63953450380711	2364.0
8	761.1838679137729,-166.15186052984788,691.9795418696843,-304.43668315645715,-385.54529245883754,-241.80379766172473,-105.99458912680457,268.5628490776435,212.9642154927819,76.66831968006245,-4.074627507608259,65.15938208583695,-83.88698760202888,85.95941286422155,82.96218970893483,8.281598193133048,-67.21239212719469,44.14613279945378,-19.437417813499813,44.875823271556776,18.189213853296916,-41.910579220444795,69.48382626453376,31.772334868903613,16.461522751853295	2563.0
